1,Agua Aquarel,0.60,25,1000,223-113-311,55.60
2,Agua Bezoya,0.60,30,1000,223-113-311,55.60
3,Cocacola,1.00,20,1000,223-113-311,55.60
4,Cocacola zero,1.50,15,1000,223-113-311,55.60
5,Nestea Limón,1.50,20,1000,223-113-311,55.60
6,Nestea Maracuya,1.50,20,1000,223-113-311,55.60
7,Monster Mango,1.80,10,1000,223-113-311,55.60
8,Monster,1.60,10,1000,223-113-311,55.60
9,Agua Aquarel,0.60,25,2000,111-111-111,111.25
10,Agua Bezoya,0.60,30,2000,111-111-111,111.25
11,Expreso,1.20,20,2000,111-111-111,111.25
12,Capuccino,1.40,10,2000,111-111-111,111.25
13,Kit-kat,1.50,30,2000,111-111-111,111.25
14,Twix,1.00,40,2000,111-111-111,111.25
15,Haribo ositos,2.50,20,3000,333-333-333,666.66
16,Choco-bons,2.70,15,3000,333-333-333,666.66
17,Galletas Oreo,2.50,25,3000,333-333-333,666.66
18,Doritos,1.50,20,3000,333-333-333,666.66
19,Lays Campesinas,1.50,15,3000,333-333-333,666.66
20,Chocolate Milka,2.10,10,3000,333-333-333,666.66
21,Chocolate Milka blanco,2.10,10,3000,333-333-333,666.66
22,Aquarius Limón,1.50,null,1000,223-113-311,55.60
