➔ 1 , 2023-06-19 , 0.60 , Tarjeta , 1,Agua Aquarel,0.60,25,1000,223-113-311,55.60
➔ 2 , 2023-06-19 , 0.60 , Tarjeta , 2,Agua Bezoya,0.60,30,1000,223-113-311,55.60
➔ 3 , 2023-06-19 , 1.00 , Tarjeta , 3,Cocacola,1.00,20,1000,223-113-311,55.60
➔ 4 , 2023-06-19 , 1.50 , Tarjeta , 4,Cocacola zero,1.50,15,1000,223-113-311,55.60
➔ 5 , 2023-06-19 , 1.50 , Tarjeta , 5,Nestea Limón,1.50,20,1000,223-113-311,55.60
➔ 6 , 2023-06-19 , 1.50 , Tarjeta , 6,Nestea Maracuya,1.50,20,1000,223-113-311,55.60
➔ 7 , 2023-06-19 , 1.80 , Tarjeta , 7,Monster Mango,1.80,10,1000,223-113-311,55.60
➔ 8 , 2023-06-19 , 1.60 , Tarjeta , 8,Monster,1.60,10,1000,223-113-311,55.60
➔ 9 , 2023-06-19 , 1.50 , Tarjeta , 5,Nestea Limón,1.50,20,1000,223-113-311,55.60
➔ 10 , 2023-06-19 , 1.50 , Tarjeta , 5,Nestea Limón,1.50,20,1000,223-113-311,55.60
